evidence_level,backend,dataset,model,solver,method,nfe,seed,num_samples,metric,metric_direction,fid,source_csv,source_output_dir,source_schedule_dir
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,10,0,50000,FID,lower_is_better,20.713900,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/metrics/gpde_pndm_cifar10_50k_nfe10_20_seed0.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_010,
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,10,0,50000,FID,lower_is_better,20.713900,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/linear/seed_000/nfe_010,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/schedules/linear/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,10,0,50000,FID,lower_is_better,26.041200,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/karras/seed_000/nfe_010,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/schedules/karras/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,offline,10,0,50000,FID,lower_is_better,19.363136,outputs/gpde_pndm_cifar10_authorized_offline/metrics/offline_authorized_seed0_nfe10.csv,outputs/gpde_pndm_cifar10_authorized_offline/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/offline_authorized/seed_000/nfe_010,outputs/gpde_pndm_cifar10_authorized_offline/schedules/offline_authorized/pndm/cifar10/pndm_model_ddim_cifar10/euler/_stage_bundles/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,10,0,50000,FID,lower_is_better,17.677288,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/metrics/gpde_pndm_cifar10_50k_nfe10_20_seed0.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_010,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,10,1,50000,FID,lower_is_better,20.471021,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/metrics/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/seed_001/nfe_010,
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,10,1,50000,FID,lower_is_better,20.471021,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/linear/seed_001/nfe_010,outputs/gpde_pndm_cifar10_50k_linear_baseline_seeds0_1_2/schedules/linear/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,Karras,10,1,50000,FID,lower_is_better,25.693088,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/metrics/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/karras/seed_001/nfe_010,outputs/gpde_pndm_cifar10_50k_karras_baseline_seeds0_1_2/schedules/karras/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,offline,10,1,50000,FID,lower_is_better,19.079813,outputs/gpde_pndm_cifar10_authorized_offline/metrics/offline_authorized_seed1_nfe10.csv,outputs/gpde_pndm_cifar10_authorized_offline/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/offline_authorized/seed_001/nfe_010,outputs/gpde_pndm_cifar10_authorized_offline/schedules/offline_authorized/pndm/cifar10/pndm_model_ddim_cifar10/euler/_stage_bundles/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,10,1,50000,FID,lower_is_better,17.417275,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/metrics/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/seed_001/nfe_010,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_1/nfe_010
three_seed_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,10,2,50000,FID,lower_is_better,20.512392,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/metrics/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/seed_002/nfe_010,
