evidence_level,backend,dataset,model,solver,method,nfe,seed,num_samples,metric,metric_direction,fid,source_csv,source_output_dir,source_schedule_dir,reused_from_seed,rounded_timesteps_equal_to_seed_specific,max_abs_raw_timestep_diff
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,10,1,50000,FID,lower_is_better,20.471021,paper/results/cifar10_50k/cifar10_pndm_euler_50k_fid_detail_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/seed_001/nfe_010,,,,
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE-seed-specific,10,1,50000,FID,lower_is_better,17.417275,paper/results/cifar10_50k/cifar10_pndm_euler_50k_fid_detail_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/seed_001/nfe_010,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_1/nfe_010,,,
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE-reuse-seed0,10,1,50000,FID,lower_is_better,17.417275,outputs/gpde_pndm_cifar10_50k_reuse_seed0_schedule_seeds1_2/metrics/gpde_pndm_cifar10_50k_reuse_seed0_schedule_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_reuse_seed0_schedule_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/D-GPDE-reuse-seed0/seed_001/nfe_010,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010,0,True,0.001082
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,10,2,50000,FID,lower_is_better,20.512392,paper/results/cifar10_50k/cifar10_pndm_euler_50k_fid_detail_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/seed_002/nfe_010,,,,
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE-seed-specific,10,2,50000,FID,lower_is_better,17.523363,paper/results/cifar10_50k/cifar10_pndm_euler_50k_fid_detail_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/seed_002/nfe_010,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_2/nfe_010,,,
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE-reuse-seed0,10,2,50000,FID,lower_is_better,17.523363,outputs/gpde_pndm_cifar10_50k_reuse_seed0_schedule_seeds1_2/metrics/gpde_pndm_cifar10_50k_reuse_seed0_schedule_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_reuse_seed0_schedule_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/D-GPDE-reuse-seed0/seed_002/nfe_010,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010,0,True,0.001318
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,1,50000,FID,lower_is_better,11.117573,paper/results/cifar10_50k/cifar10_pndm_euler_50k_fid_detail_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/seed_001/nfe_020,,,,
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE-seed-specific,20,1,50000,FID,lower_is_better,10.661299,paper/results/cifar10_50k/cifar10_pndm_euler_50k_fid_detail_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/seed_001/nfe_020,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_1/nfe_020,,,
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE-reuse-seed0,20,1,50000,FID,lower_is_better,10.661299,outputs/gpde_pndm_cifar10_50k_reuse_seed0_schedule_seeds1_2/metrics/gpde_pndm_cifar10_50k_reuse_seed0_schedule_seeds1_2.csv,outputs/gpde_pndm_cifar10_50k_reuse_seed0_schedule_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/D-GPDE-reuse-seed0/seed_001/nfe_020,outputs/gpde_pndm_cifar10_50k_nfe10_20_seed0/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_020,0,True,0.001082
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,2,50000,FID,lower_is_better,11.081873,paper/results/cifar10_50k/cifar10_pndm_euler_50k_fid_detail_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/seed_002/nfe_020,,,,
actual_seed0_schedule_reuse_50k_fid,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE-seed-specific,20,2,50000,FID,lower_is_better,10.617530,paper/results/cifar10_50k/cifar10_pndm_euler_50k_fid_detail_seeds0_1_2.csv,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/seed_002/nfe_020,outputs/gpde_pndm_cifar10_50k_nfe10_20_seeds1_2/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/seed_2/nfe_020,,,
