evidence_level,backend,dataset,model,solver,method,nfe,seed,step_index,start_timestep,spacing_to_next_start
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,1,999.00000000,52.57891846
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,2,946.42108154,52.57897949
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,3,893.84210205,52.57891846
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,4,841.26318359,52.57897949
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,5,788.68420410,52.57891846
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,6,736.10528564,52.57897949
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,7,683.52630615,52.57891846
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,8,630.94738770,52.57897949
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,9,578.36840820,52.57891846
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,10,525.78948975,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,11,473.21054077,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,12,420.63159180,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,13,368.05264282,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,14,315.47369385,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,15,262.89474487,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,16,210.31579590,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,17,157.73684692,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,18,105.15789795,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,19,52.57894897,52.57894897
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,20,0,20,0.00000000,
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,0,1,999.00000000,52.57894737
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,0,2,946.42105263,52.57894737
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,0,3,893.84210526,52.57894737
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,0,4,841.26315789,52.57894737
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,0,5,788.68421053,52.57894737
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,0,6,736.10526316,52.57894737
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,0,7,683.52631579,52.57894737
three_seed_50k_fid_schedule_profile,pndm,cifar10,pndm_model_ddim_cifar10,euler,linear,20,0,8,630.94736842,52.57894737
