evidence_level,backend,dataset,model,solver,method,nfe,seed,seed_count,num_samples,metric,metric_direction,fid,source_csv,source_output_dir,source_schedule_dir
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,4,0,1,5000,FID,lower_is_better,118.109456,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_004,
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,4,0,1,5000,FID,lower_is_better,62.365869,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_004,outputs/gpde_pndm_test/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_004
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,5,0,1,5000,FID,lower_is_better,73.333185,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_005,
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,5,0,1,5000,FID,lower_is_better,44.973010,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_005,outputs/gpde_pndm_test/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_005
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,6,0,1,5000,FID,lower_is_better,51.255210,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_006,
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,6,0,1,5000,FID,lower_is_better,36.302163,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_006,outputs/gpde_pndm_test/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_006
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,8,0,1,5000,FID,lower_is_better,33.249033,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_008,
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,8,0,1,5000,FID,lower_is_better,27.104403,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_008,outputs/gpde_pndm_test/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_008
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,10,0,1,5000,FID,lower_is_better,25.390184,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_010,
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,10,0,1,5000,FID,lower_is_better,22.375849,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_010,outputs/gpde_pndm_test/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_010
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,12,0,1,5000,FID,lower_is_better,21.666502,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_012,
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,12,0,1,5000,FID,lower_is_better,19.537778,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_012,outputs/gpde_pndm_test/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_012
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,base,15,0,1,5000,FID,lower_is_better,18.561843,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/base/nfe_015,
pilot_5k_seed0_not_paper_grade,pndm,cifar10,pndm_model_ddim_cifar10,euler,D-GPDE,15,0,1,5000,FID,lower_is_better,17.539732,outputs/gpde_pndm_test/metrics/gpde_pndm_test.csv,outputs/gpde_pndm_test/samples/pndm/cifar10/pndm_model_ddim_cifar10/euler/GPDE/nfe_015,outputs/gpde_pndm_test/schedules/GPDE/pndm/cifar10/pndm_model_ddim_cifar10/euler/nfe_015
