evidence_level,model,solver,method,nfe,guidance_scale,seed,boundary_index,sigma,sigma_drop_to_next
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,0,14.61464691,6.77476168
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,1,7.83988523,3.23070908
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,2,4.60917616,1.69086766
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,3,2.91830850,0.96814609
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,4,1.95016241,0.60523391
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,5,1.34492850,0.41257018
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,6,0.93235832,0.30738103
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,7,0.62497729,0.25631878
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,8,0.36865851,0.33949098
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,9,0.02916753,0.02916753
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,base,10,7.5,0,10,0.00000000,
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,0,14.61500000,8.14000000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,1,6.47500000,2.61400000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,2,3.86100000,1.16400000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,3,2.69700000,0.81100000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,4,1.88600000,0.49000000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,5,1.39600000,0.43300000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,6,0.96300000,0.31100000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,7,0.65200000,0.25300000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,8,0.39900000,0.24700000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,9,0.15200000,0.12300000
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,AYS,10,7.5,0,10,0.02900000,
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,0,14.61464691,2.44654829
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,1,12.16809862,3.12572666
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,2,9.04237196,2.15443547
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,3,6.88793649,1.47820866
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,4,5.40972783,1.39588149
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,5,4.01384634,1.27672657
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,6,2.73711978,1.16492076
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,7,1.57219902,0.71452952
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,8,0.85766950,0.53449864
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,9,0.32317086,0.32317086
matched_sd15_cfg_sweep_schedule_profile,stable_diffusion_15,euler,D-GPDE,10,7.5,0,10,0.00000000,
