backend,model_asset,solver,schedule,nfe,seed,guidance_scale,num_images,bootstrap_samples,ci_level,schedule_dir,output_dir,clip_score_mean,clip_score_bootstrap_se,clip_score_ci_low,clip_score_ci_high,image_reward_mean,image_reward_bootstrap_se,image_reward_ci_low,image_reward_ci_high
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,50,1000,0.95,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,29.440774421691895,0.4693088207142153,28.48738024234772,30.348649501800537,0.14101881101727487,0.13770844442361516,-0.12307623144984241,0.4140590923875569
diffusers,hf_stable_diffusion_15,euler,GPDE,10,1,10.0,50,1000,0.95,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_1/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_001/nfe_010,29.31095188140869,0.4312398306423566,28.452189564704895,30.14317377090454,0.13443883880972862,0.1392805065295746,-0.13692218777909873,0.4028331071697175
diffusers,hf_stable_diffusion_15,euler,GPDE,10,2,10.0,50,1000,0.95,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_2/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_002/nfe_010,29.875759887695313,0.4952022403095692,28.936347076416013,30.869915402412413,0.17927934950217606,0.1417492869692117,-0.07718561919825136,0.46250458482746026
diffusers,hf_stable_diffusion_15,euler,ays,10,0,10.0,50,1000,0.95,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/ays/seed_000/nfe_010,29.467888526916504,0.5271429747008065,28.437547222137454,30.514080153465272,0.14715401351451873,0.1481049962109282,-0.1622588829919695,0.44059926871582855
diffusers,hf_stable_diffusion_15,euler,ays,10,1,10.0,50,1000,0.95,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/ays/seed_001/nfe_010,29.653338890075684,0.46407277423043913,28.738893072128295,30.592779841423038,0.41766489936504514,0.12632425630756405,0.17606602903897875,0.6735160868018866
diffusers,hf_stable_diffusion_15,euler,ays,10,2,10.0,50,1000,0.95,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/ays/seed_002/nfe_010,29.57286403656006,0.4781301132607167,28.696354607582094,30.54535287475586,0.2574527808651328,0.13220696291414696,0.008317591686733072,0.5223455774644389
diffusers,hf_stable_diffusion_15,euler,base,10,0,10.0,50,1000,0.95,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/base/seed_000/nfe_010,29.35992088317871,0.5037358922167198,28.31572938632965,30.307670236587526,0.1688382727280259,0.15558860451055248,-0.1466373811392113,0.4547987995417789
diffusers,hf_stable_diffusion_15,euler,base,10,1,10.0,50,1000,0.95,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/base/seed_001/nfe_010,29.53358341217041,0.4398043531395838,28.66939500617981,30.391191778182982,0.28880912002176046,0.1337426301254271,0.02901698559615766,0.5416764233345166
diffusers,hf_stable_diffusion_15,euler,base,10,2,10.0,50,1000,0.95,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/base/seed_002/nfe_010,30.127661933898924,0.444352977410215,29.2776203918457,31.031446159362794,0.25841735317371783,0.11759076033504595,0.02992149085155693,0.5066287475747522
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,5.0,50,1000,0.95,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/GPDE/seed_000/nfe_010,28.99593852996826,0.527756505339186,27.941843348503113,29.98991631412506,-0.10609657101333142,0.1516902525269953,-0.4198094703983516,0.18462197534553698
diffusers,hf_stable_diffusion_15,euler,GPDE,10,1,5.0,50,1000,0.95,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_5/seed_1/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/GPDE/seed_001/nfe_010,29.540881118774415,0.43642830265389965,28.707030358314515,30.35911691665649,-0.07136409342288971,0.13452511101800405,-0.32446294247359037,0.2023103788867593
diffusers,hf_stable_diffusion_15,euler,GPDE,10,2,5.0,50,1000,0.95,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_5/seed_2/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/GPDE/seed_002/nfe_010,29.277227783203124,0.4754963062822716,28.343138633728028,30.224798278808592,0.027658704491332172,0.1358586209009656,-0.22739761440665454,0.30653736806940285
