comparison,metric,model_asset,solver,nfe,guidance_scale,num_pairs,win_rate,mean_delta,median_delta,bootstrap_samples,ci_level,win_rate_bootstrap_se,win_rate_ci_low,win_rate_ci_high,mean_delta_bootstrap_se,mean_delta_ci_low,mean_delta_ci_high
AYS vs base,clip_score,hf_stable_diffusion_15,euler,10,10.0,150,0.46,-0.10902492523193359,-0.2737607955932617,1000,0.95,0.041725597298473256,0.38,0.5401666666666666,0.18383183341886777,-0.4797874463399251,0.24259324455261225
AYS vs base,image_reward,hf_stable_diffusion_15,euler,10,10.0,150,0.54,0.03540231594039748,0.027856722474098206,1000,0.95,0.04057423212775815,0.46,0.6133333333333333,0.04568829938425348,-0.05520929154253097,0.12498331790471759
GPDE vs base,clip_score,hf_stable_diffusion_15,euler,10,10.0,150,0.41333333333333333,-0.13122667948404948,-0.23311996459960938,1000,0.95,0.03956709125353823,0.34,0.49333333333333335,0.18307787012893126,-0.4815945742925007,0.226420392036438
GPDE vs base,image_reward,hf_stable_diffusion_15,euler,10,10.0,150,0.4066666666666667,-0.0871092488647749,-0.09667745232582092,1000,0.95,0.04029549346341507,0.32666666666666666,0.4866666666666667,0.0509102322330538,-0.19205482311624414,0.009817934601024408
GPDE vs AYS,clip_score,hf_stable_diffusion_15,euler,10,10.0,150,0.48,-0.022201754252115884,-0.06823444366455078,1000,0.95,0.041309129469293396,0.4,0.56,0.20725951519423516,-0.4443992919921874,0.3744154942830403
GPDE vs AYS,image_reward,hf_stable_diffusion_15,euler,10,10.0,150,0.37333333333333335,-0.12251156480517239,-0.1375560164451599,1000,0.95,0.04044607186332955,0.29333333333333333,0.4533333333333333,0.05654887093615487,-0.23217247388356677,-0.013771429295418833
AYS vs base,clip_score,hf_stable_diffusion_15,euler,10,5.0,150,0.5333333333333333,0.18469838460286458,0.09081077575683594,1000,0.95,0.04057805812287283,0.46,0.6068333333333332,0.14067165534299927,-0.08646495278676339,0.4700467945734658
AYS vs base,image_reward,hf_stable_diffusion_15,euler,10,5.0,150,0.66,0.10583067907951772,0.08387959003448486,1000,0.95,0.03879336244016312,0.5866666666666667,0.7333333333333333,0.03415998705095604,0.04343703946494501,0.17781922591803587
GPDE vs base,clip_score,hf_stable_diffusion_15,euler,10,5.0,150,0.4266666666666667,-0.1881685511271159,-0.2895689010620117,1000,0.95,0.040426684327243355,0.35333333333333333,0.5133333333333333,0.16805883507929392,-0.5141714696884155,0.14779602209726966
GPDE vs base,image_reward,hf_stable_diffusion_15,euler,10,5.0,150,0.3333333333333333,-0.13275867772288621,-0.10595673322677612,1000,0.95,0.03780163881673074,0.26,0.41349999999999987,0.037435457442985154,-0.20507953719872357,-0.058685889177722876
GPDE vs AYS,clip_score,hf_stable_diffusion_15,euler,10,5.0,150,0.41333333333333333,-0.3728669357299805,-0.4507427215576172,1000,0.95,0.0407437712950555,0.3333333333333333,0.49333333333333335,0.16058941138122718,-0.6958944349288939,-0.0629787515004477
GPDE vs AYS,image_reward,hf_stable_diffusion_15,euler,10,5.0,150,0.26666666666666666,-0.23858935680240392,-0.20669269561767578,1000,0.95,0.036427603594485464,0.19333333333333333,0.34,0.05034361362279091,-0.3352102475640519,-0.14600830975268037
AYS vs base,clip_score,hf_stable_diffusion_15,euler,10,7.5,150,0.5133333333333333,-0.08110211690266927,0.10714244842529297,1000,0.95,0.039290730959312715,0.43333333333333335,0.5868333333333332,0.1636028570791405,-0.41637391312917066,0.23369312381744384
AYS vs base,image_reward,hf_stable_diffusion_15,euler,10,7.5,150,0.5733333333333334,0.03524396848321582,0.06217505969107151,1000,0.95,0.0414799679761069,0.49333333333333335,0.6533333333333333,0.0362021057232371,-0.0355676541958625,0.10314409750699996
GPDE vs base,clip_score,hf_stable_diffusion_15,euler,10,7.5,150,0.4533333333333333,-0.16413340250651043,-0.14400863647460938,1000,0.95,0.04032901280366484,0.37333333333333335,0.5333333333333333,0.1698199939207226,-0.5136785087585447,0.17493822574615464
GPDE vs base,image_reward,hf_stable_diffusion_15,euler,10,7.5,150,0.46,-0.08428480052001154,-0.0456390343606472,1000,0.95,0.04092477806515149,0.38,0.54,0.04856094149704871,-0.18190431078377878,0.00817316557148779
GPDE vs AYS,clip_score,hf_stable_diffusion_15,euler,10,7.5,150,0.47333333333333333,-0.08303128560384114,-0.09935855865478516,1000,0.95,0.03939589421405954,0.3933333333333333,0.5466666666666666,0.20036060874462394,-0.4658872588475545,0.3098132289250691
GPDE vs AYS,image_reward,hf_stable_diffusion_15,euler,10,7.5,150,0.38666666666666666,-0.11952876900322736,-0.10582028701901436,1000,0.95,0.039996649286864,0.30666666666666664,0.4666666666666667,0.05935475416590282,-0.23908396155619996,-0.001743771373100281
