backend,dataset,model,model_asset,solver,schedule,clock_label,clock_family,estimator,nfe,seed,guidance_scale,num_samples,metric_name,metric_value,fid,kid,clip_score,image_reward,status,error,schedule_dir,output_dir
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,0,5.0,50,,,,,28.99593852996826,-0.10609657101333142,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/GPDE/seed_000/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,2,5.0,50,,,,,29.977746772766114,0.09726429618895054,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/base/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,1,5.0,50,,,,,29.449180297851562,0.09117373257875443,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/base/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,0,5.0,50,,,,,28.951626014709472,0.060036044456064704,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/base/seed_000/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,1,5.0,50,,,,,29.915912246704103,0.28897922080941496,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/ays/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,2,5.0,50,,,,,29.277227783203124,0.027658704491332172,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_5/seed_2/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/GPDE/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,0,5.0,50,,,,,29.236919288635253,0.028719755932688714,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/ays/seed_000/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,1,5.0,50,,,,,29.540881118774415,-0.07136409342288971,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_5/seed_1/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/GPDE/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,2,7.5,50,,,,,29.873329582214357,0.27573752485215663,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/base/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,0,7.5,50,,,,,29.46943305969238,0.10775199308991432,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/base/seed_000/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,2,5.0,50,,,,,29.779816703796385,0.24826713372021914,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_5/ays/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,1,7.5,50,,,,,29.850020637512205,0.2205248312535696,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/base/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,0,7.5,50,,,,,29.270071144104005,0.09953025966882706,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/ays/seed_000/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,1,7.5,50,,,,,29.662092475891114,0.046048881146125493,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_1/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/GPDE/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,2,7.5,50,,,,,29.69968029022217,0.1859317692508921,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_2/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/GPDE/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,0,7.5,50,,,,,29.338610305786133,0.11917929723858833,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/GPDE/seed_000/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,1,10.0,50,,,,,29.53358341217041,0.28880912002176046,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/base/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,2,7.5,50,,,,,29.6915726852417,0.2735192310810089,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/ays/seed_002/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,base,,base,,10,0,10.0,50,,,,,29.35992088317871,0.1688382727280259,OK,,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/base/seed_000/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,ays,,ays_published,,10,1,7.5,50,,,,,29.987833099365233,0.336696763895452,OK,,schedules/ays_like/published/stable_diffusion_15/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_7.5/ays/seed_001/nfe_010
diffusers,,hf_stable_diffusion_15,hf_stable_diffusion_15,euler,GPDE,,GPDE,,10,2,10.0,50,,,,,29.875759887695313,0.17927934950217606,OK,,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_2/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_002/nfe_010
