backend,model_asset,solver,schedule,nfe,seed,guidance_scale,num_images,bootstrap_samples,ci_level,schedule_dir,output_dir,clip_score_mean,clip_score_bootstrap_se,clip_score_ci_low,clip_score_ci_high,image_reward_mean,image_reward_bootstrap_se,image_reward_ci_low,image_reward_ci_high
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,50,1000,0.95,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,30.949662017822266,0.5040520248153085,30.000606559753418,31.882504637718196,0.9605309218168259,0.09634302551504255,0.7657167457081379,1.1393166646733879
diffusers,hf_sdxl_base_10,euler,GPDE,10,1,5.0,50,1000,0.95,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_1/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_001/nfe_010,30.900554428100588,0.4902419677223706,29.940058670043946,31.844019247055055,0.89696756452322,0.10913272460100303,0.6851516280248763,1.1081667288392782
diffusers,hf_sdxl_base_10,euler,GPDE,10,2,5.0,50,1000,0.95,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_2/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_002/nfe_010,30.654957237243654,0.5388007238756874,29.62051592922211,31.688309973716734,0.8441738909482956,0.11296628502963155,0.6331870057322085,1.054794410277158
diffusers,hf_sdxl_base_10,euler,ays,10,0,5.0,50,1000,0.95,schedules/ays_like/published/sdxl/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/ays/seed_000/nfe_010,30.995016136169433,0.5112326117958026,29.95183811378479,31.98892182445526,1.0936369579285383,0.09190348552746874,0.8993503928780556,1.2588256320655347
diffusers,hf_sdxl_base_10,euler,ays,10,1,5.0,50,1000,0.95,schedules/ays_like/published/sdxl/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/ays/seed_001/nfe_010,31.318984756469728,0.44902942228390375,30.51180512237549,32.23515968513489,0.9984321490675211,0.10499098467081772,0.7834636586923153,1.182279749037698
diffusers,hf_sdxl_base_10,euler,ays,10,2,5.0,50,1000,0.95,schedules/ays_like/published/sdxl/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/ays/seed_002/nfe_010,30.762661170959472,0.5666269701813298,29.676430927276613,31.868530214309693,0.9656780742108821,0.10753838711462975,0.7565178900063038,1.1671728520095348
diffusers,hf_sdxl_base_10,euler,base,10,0,5.0,50,1000,0.95,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/base/seed_000/nfe_010,31.0187158203125,0.5072206360284863,30.046902024269105,31.9767937335968,0.8731234511733055,0.12001015530104281,0.6143336160778999,1.089947910964489
diffusers,hf_sdxl_base_10,euler,base,10,1,5.0,50,1000,0.95,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/base/seed_001/nfe_010,31.16182907104492,0.4702583036485704,30.226054944992065,32.08381741714478,0.8612423142790795,0.11153086393934936,0.6305328458361328,1.0797808746397495
diffusers,hf_sdxl_base_10,euler,base,10,2,5.0,50,1000,0.95,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/base/seed_002/nfe_010,30.824909439086912,0.5041823831043438,29.850053716659545,31.800014483451843,0.7316147968173027,0.1321424937986054,0.4580617259703579,0.9738939173724502
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,7.5,50,1000,0.95,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_7.5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/GPDE/seed_000/nfe_010,31.050102615356444,0.5144937458179129,30.061185585021974,31.99807838535309,1.1473824906535446,0.08867456537728699,0.9634064468196593,1.3083144372552633
