comparison,metric,model_asset,solver,nfe,guidance_scale,num_pairs,win_rate,mean_delta,median_delta,bootstrap_samples,ci_level,win_rate_bootstrap_se,win_rate_ci_low,win_rate_ci_high,mean_delta_bootstrap_se,mean_delta_ci_low,mean_delta_ci_high
AYS vs base,clip_score,hf_sdxl_base_10,euler,10,5.0,150,0.46,0.02373591105143229,-0.10155296325683594,1000,0.95,0.038955626419281304,0.38,0.5334999999999999,0.1765346609559042,-0.3322972373962401,0.35540749073028566
AYS vs base,image_reward,hf_sdxl_base_10,euler,10,5.0,150,0.66,0.19725553964575132,0.11179780960083008,1000,0.95,0.0402717937634827,0.58,0.7333333333333333,0.05894974070460566,0.08236665106192234,0.3094233739854147
GPDE vs base,clip_score,hf_sdxl_base_10,euler,10,5.0,150,0.43333333333333335,-0.16676021575927735,-0.3055744171142578,1000,0.95,0.04152459649817875,0.3466666666666667,0.5133333333333333,0.17318486243959338,-0.5056453762054444,0.1644963099161784
GPDE vs base,image_reward,hf_sdxl_base_10,euler,10,5.0,150,0.5266666666666666,0.07856393833955129,0.012134402990341187,1000,0.95,0.041747078363464175,0.44,0.6066666666666667,0.04854883458998881,-0.012499247323721645,0.1746280617620796
GPDE vs AYS,clip_score,hf_sdxl_base_10,euler,10,5.0,150,0.48,-0.19049612681070963,-0.1168060302734375,1000,0.95,0.040839788053909976,0.3998333333333335,0.56,0.15286857855254135,-0.49400733979543043,0.10265615590413404
GPDE vs AYS,image_reward,hf_sdxl_base_10,euler,10,5.0,150,0.35333333333333333,-0.11869160130620003,-0.0944962203502655,1000,0.95,0.04015826270945519,0.2733333333333333,0.43333333333333335,0.04597241102305122,-0.2080710844987382,-0.03607989256146054
AYS vs base,clip_score,hf_sdxl_base_10,euler,10,7.5,150,0.44666666666666666,-0.32895987192789716,-0.22658061981201172,1000,0.95,0.0410727245509154,0.36666666666666664,0.5333333333333333,0.20571786756881266,-0.7511191158294677,0.07297370115915933
AYS vs base,image_reward,hf_sdxl_base_10,euler,10,7.5,150,0.49333333333333335,-0.0364365494530648,-0.004713952541351318,1000,0.95,0.04101445445648707,0.41333333333333333,0.5733333333333334,0.05689168272732549,-0.15186475503250646,0.07527558869651203
GPDE vs base,clip_score,hf_sdxl_base_10,euler,10,7.5,150,0.4666666666666667,0.08771713256835938,-0.07272720336914062,1000,0.95,0.03978514144378432,0.3933333333333333,0.5466666666666666,0.16705036992935576,-0.24294902928670245,0.4131319376627603
GPDE vs base,image_reward,hf_sdxl_base_10,euler,10,7.5,150,0.5466666666666666,0.12193934299672643,0.015878021717071533,1000,0.95,0.04018563088186893,0.4666666666666667,0.6266666666666667,0.04419427144527331,0.03932323928689584,0.21377554746717214
GPDE vs AYS,clip_score,hf_sdxl_base_10,euler,10,7.5,150,0.58,0.4166770044962565,0.33150291442871094,1000,0.95,0.04016679660275518,0.49333333333333335,0.6533333333333333,0.21814004797763,0.007132865269978937,0.8522512718836467
GPDE vs AYS,image_reward,hf_sdxl_base_10,euler,10,7.5,150,0.5266666666666666,0.15837589244979122,0.02689710259437561,1000,0.95,0.04102727973101033,0.44,0.6066666666666667,0.04839764140437728,0.06934189667451823,0.26070299959019755
