backend,dataset,model,model_asset,solver,schedule,clock_label,clock_family,estimator,nfe,seed,guidance_scale,num_samples,metric_name,metric_value,fid,kid,clip_score,image_reward,status,error,schedule_dir,output_dir
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,base,,base,,10,1,5.0,50,,,,,31.16182907104492,0.8612423142790795,OK,,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/base/seed_001/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,base,,base,,10,2,5.0,50,,,,,30.824909439086912,0.7316147968173027,OK,,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/base/seed_002/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,GPDE,,GPDE,,10,0,5.0,50,,,,,30.949662017822266,0.9605309218168259,OK,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,base,,base,,10,0,5.0,50,,,,,31.0187158203125,0.8731234511733055,OK,,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/base/seed_000/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,GPDE,,GPDE,,10,2,5.0,50,,,,,30.654957237243654,0.8441738909482956,OK,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_2/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_002/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,ays,,ays_published,,10,0,5.0,50,,,,,30.995016136169433,1.0936369579285383,OK,,schedules/ays_like/published/sdxl/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/ays/seed_000/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,ays,,ays_published,,10,1,5.0,50,,,,,31.318984756469728,0.9984321490675211,OK,,schedules/ays_like/published/sdxl/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/ays/seed_001/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,GPDE,,GPDE,,10,1,5.0,50,,,,,30.900554428100588,0.89696756452322,OK,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_1/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_001/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,base,,base,,10,0,7.5,50,,,,,30.954467277526856,1.0824841226637363,OK,,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/base/seed_000/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,base,,base,,10,1,7.5,50,,,,,31.40712261199951,1.0754594740271568,OK,,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/base/seed_001/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,base,,base,,10,2,7.5,50,,,,,30.698416976928712,0.8637900322675705,OK,,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/base/seed_002/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,ays,,ays_published,,10,2,5.0,50,,,,,30.762661170959472,0.9656780742108821,OK,,schedules/ays_like/published/sdxl/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/ays/seed_002/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,GPDE,,GPDE,,10,1,7.5,50,,,,,31.378833351135253,1.186393947675824,OK,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_7.5/seed_1/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/GPDE/seed_001/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,GPDE,,GPDE,,10,2,7.5,50,,,,,30.894222297668456,1.0537752196192742,OK,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_7.5/seed_2/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/GPDE/seed_002/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,ays,,ays_published,,10,0,7.5,50,,,,,30.872714653015137,1.0290567124076189,OK,,schedules/ays_like/published/sdxl/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/ays/seed_000/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,GPDE,,GPDE,,10,0,7.5,50,,,,,31.050102615356444,1.1473824906535446,OK,,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_7.5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/GPDE/seed_000/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,ays,,ays_published,,10,2,7.5,50,,,,,30.17574851989746,0.906392480880022,OK,,schedules/ays_like/published/sdxl/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/ays/seed_002/nfe_010
diffusers,,hf_sdxl_base_10,hf_sdxl_base_10,euler,ays,,ays_published,,10,1,7.5,50,,,,,31.02466407775879,0.9769747873116285,OK,,schedules/ays_like/published/sdxl/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_7.5/ays/seed_001/nfe_010
